,cover_image_url,issue_month,issue_year
0,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1960_01/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,01,1960
1,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1960_02/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,02,1960
2,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1960_03/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,03,1960
3,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1960_04/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,04,1960
4,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1960_05/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,05,1960
5,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1960_06/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,06,1960
6,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1960_07/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,07,1960
7,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1960_08/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,08,1960
8,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1960_09/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,09,1960
9,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1960_10/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,10,1960
10,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1960_11/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,11,1960
11,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1960_12/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,12,1960
12,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1961_01/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,01,1961
13,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1961_02/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,02,1961
14,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1961_03/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,03,1961
15,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1961_04/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,04,1961
16,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1961_05/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,05,1961
17,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1961_06/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,06,1961
18,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1961_07/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,07,1961
19,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1961_08/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,08,1961
20,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1961_09/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,09,1961
21,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1961_10/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,10,1961
22,https://archive.nationalgeographic.com/rvimageserver/National%20Geographic%20Society/National%20Geographic/NGM_1961_11/page0000001.jpg?type=1&amp;width=824&amp;quality=70&amp;v=v1,11,1961
